Size,,,, CPU Time,,Size,,,,CPU Time
3550,1, Adj List, CPU Time,0.001657,,3550,1, Adj Matrix, CPU Time,1.826483
3300,10, Adj List, CPU Time,0.001535,,3300,10, Adj Matrix, CPU Time,1.395404
3300,9, Adj List, CPU Time,0.00155,,3300,9, Adj Matrix, CPU Time,1.844614
3300,8, Adj List, CPU Time,0.001517,,3300,8, Adj Matrix, CPU Time,1.972259
3300,7, Adj List, CPU Time,0.001548,,3300,7, Adj Matrix, CPU Time,1.576612
3300,6, Adj List, CPU Time,0.00156,,3300,6, Adj Matrix, CPU Time,1.325929
3300,5, Adj List, CPU Time,0.001487,,3300,5, Adj Matrix, CPU Time,2.77544
3300,4, Adj List, CPU Time,0.001462,,3300,4, Adj Matrix, CPU Time,3.104192
3300,3, Adj List, CPU Time,0.001486,,3300,3, Adj Matrix, CPU Time,3.982993
3300,2, Adj List, CPU Time,0.001503,,3300,2, Adj Matrix, CPU Time,3.208346
3300,1, Adj List, CPU Time,0.001492,,3300,1, Adj Matrix, CPU Time,2.147466
3050,10, Adj List, CPU Time,0.00137,,3050,10, Adj Matrix, CPU Time,1.795094
3050,9, Adj List, CPU Time,0.001366,,3050,9, Adj Matrix, CPU Time,2.021108
3050,8, Adj List, CPU Time,0.001369,,3050,8, Adj Matrix, CPU Time,1.964999
3050,7, Adj List, CPU Time,0.001359,,3050,7, Adj Matrix, CPU Time,1.989526
3050,6, Adj List, CPU Time,0.001405,,3050,6, Adj Matrix, CPU Time,1.422818
3050,5, Adj List, CPU Time,0.001385,,3050,5, Adj Matrix, CPU Time,1.618283
3050,4, Adj List, CPU Time,0.001358,,3050,4, Adj Matrix, CPU Time,1.180754
3050,3, Adj List, CPU Time,0.001368,,3050,3, Adj Matrix, CPU Time,1.715696
3050,2, Adj List, CPU Time,0.001378,,3050,2, Adj Matrix, CPU Time,1.417811
3050,1, Adj List, CPU Time,0.001377,,3050,1, Adj Matrix, CPU Time,1.710718
2800,10, Adj List, CPU Time,0.001269,,2800,10, Adj Matrix, CPU Time,0.977791
2800,9, Adj List, CPU Time,0.001248,,2800,9, Adj Matrix, CPU Time,2.001866
2800,8, Adj List, CPU Time,0.00127,,2800,8, Adj Matrix, CPU Time,1.021214
