comp, swap, thresh, size, cpu_time, -->, time
9610000, 0, -1, 235, 0.193481, -->, 0.196s
2340000, 0, 240, 235, 0.010383, -->, 0.013s
9610000, 0, -1, 235, 0.200430, -->, 0.205s
2340000, 0, 240, 235, 0.010861, -->, 0.013s
9610000, 0, -1, 235, 0.204897, -->, 0.210s
2340000, 0, 240, 235, 0.011541, -->, 0.013s
9610000, 0, -1, 235, 0.213950, -->, 0.215s
 
2330000, 0, 240, 234, 0.012182, -->, 0.015s
9570000, 0, -1, 234, 0.220410, -->, 0.225s
2330000, 0, 240, 234, 0.011556, -->, 0.014s
9570000, 0, -1, 234, 0.184210, -->, 0.190s
2330000, 0, 240, 234, 0.011188, -->, 0.014s
9570000, 0, -1, 234, 0.192604, -->, 0.197s
2330000, 0, 240, 234, 0.009960, -->, 0.013s
9570000, 0, -1, 234, 0.196120, -->, 0.200s
2330000, 0, 240, 234, 0.011264, -->, 0.013s
9570000, 0, -1, 234, 0.185680, -->, 0.190s
2330000, 0, 240, 234, 0.011721, -->, 0.013s
9570000, 0, -1, 234, 0.209728, -->, 0.215s
2330000, 0, 240, 234, 0.011167, -->, 0.013s
9570000, 0, -1, 234, 0.185387, -->, 0.191s
2330000, 0, 240, 234, 0.010556, -->, 0.014s
9570000, 0, -1, 234, 0.188530, -->, 0.192s
2330000, 0, 240, 234, 0.008101, -->, 0.013s
9570000, 0, -1, 234, 0.185965, -->, 0.190s
2330000, 0, 240, 234, 0.010393, -->, 0.013s
9570000, 0, -1, 234, 0.188828, -->, 0.194s
 
2320000, 0, 240, 233, 0.012269, -->, 0.016s
9530000, 0, -1, 233, 0.191649, -->, 0.196s
2320000, 0, 240, 233, 0.010781, -->, 0.013s
9530000, 0, -1, 233, 0.208885, -->, 0.214s
2320000, 0, 240, 233, 0.010083, -->, 0.013s
9530000, 0, -1, 233, 0.208195, -->, 0.213s
2320000, 0, 240, 233, 0.010046, -->, 0.014s
9530000, 0, -1, 233, 0.223762, -->, 0.229s
2320000, 0, 240, 233, 0.009496, -->, 0.013s
9530000, 0, -1, 233, 0.219474, -->, 0.224s
2320000, 0, 240, 233, 0.008578, -->, 0.013s
9530000, 0, -1, 233, 0.186534, -->, 0.189s
2320000, 0, 240, 233, 0.009412, -->, 0.013s
9530000, 0, -1, 233, 0.187324, -->, 0.192s
2320000, 0, 240, 233, 0.013395, -->, 0.016s
9530000, 0, -1, 233, 0.217339, -->, 0.219s
2320000, 0, 240, 233, 0.011921, -->, 0.014s
9530000, 0, -1, 233, 0.220733, -->, 0.223s
2320000, 0, 240, 233, 0.010094, -->, 0.015s
9530000, 0, -1, 233, 0.237571, -->, 0.240s
 
2310000, 0, 240, 232, 0.011131, -->, 0.016s
9480000, 0, -1, 232, 0.249127, -->, 0.251s
2310000, 0, 240, 232, 0.011940, -->, 0.017s
9480000, 0, -1, 232, 0.250241, -->, 0.253s
2310000, 0, 240, 232, 0.012567, -->, 0.016s
9480000, 0, -1, 232, 0.254759, -->, 0.258s
2310000, 0, 240, 232, 0.012381, -->, 0.016s
9480000, 0, -1, 232, 0.246799, -->, 0.249s
2310000, 0, 240, 232, 0.013782, -->, 0.017s
9480000, 0, -1, 232, 0.246927, -->, 0.251s
2310000, 0, 240, 232, 0.011479, -->, 0.017s
9480000, 0, -1, 232, 0.245377, -->, 0.251s
2310000, 0, 240, 232, 0.010748, -->, 0.016s
9480000, 0, -1, 232, 0.257081, -->, 0.259s
2310000, 0, 240, 232, 0.011745, -->, 0.016s
9480000, 0, -1, 232, 0.254125, -->, 0.257s
2310000, 0, 240, 232, 0.011599, -->, 0.017s
9480000, 0, -1, 232, 0.249250, -->, 0.251s
